Emoji,Unicode,Description
🚴🏿‍♂️,U+1F6B4 U+1F3FF U+200D U+2642 U+FE0F,:man_biking_dark_skin_tone:
🚵🏿‍♀️,U+1F6B5 U+1F3FF U+200D U+2640 U+FE0F,:woman_mountain_biking_dark_skin_tone:
🚵🏿,U+1F6B5 U+1F3FF,:person_mountain_biking_dark_skin_tone:
🚵🏿‍♂️,U+1F6B5 U+1F3FF U+200D U+2642 U+FE0F,:man_mountain_biking_dark_skin_tone:
🤸🏿‍♀️,U+1F938 U+1F3FF U+200D U+2640 U+FE0F,:woman_cartwheeling_dark_skin_tone:
🤸🏿,U+1F938 U+1F3FF,:person_cartwheeling_dark_skin_tone:
🤸🏿‍♂️,U+1F938 U+1F3FF U+200D U+2642 U+FE0F,:man_cartwheeling_dark_skin_tone:
🤽🏿‍♀️,U+1F93D U+1F3FF U+200D U+2640 U+FE0F,:woman_playing_water_polo_dark_skin_tone:
🤽🏿,U+1F93D U+1F3FF,:person_playing_water_polo_dark_skin_tone:
🤽🏿‍♂️,U+1F93D U+1F3FF U+200D U+2642 U+FE0F,:man_playing_water_polo_dark_skin_tone:
🤾🏿‍♀️,U+1F93E U+1F3FF U+200D U+2640 U+FE0F,:woman_playing_handball_dark_skin_tone:
🤾🏿,U+1F93E U+1F3FF,:person_playing_handball_dark_skin_tone:
🤾🏿‍♂️,U+1F93E U+1F3FF U+200D U+2642 U+FE0F,:man_playing_handball_dark_skin_tone:
🤹🏿‍♀️,U+1F939 U+1F3FF U+200D U+2640 U+FE0F,:woman_juggling_dark_skin_tone:
🤹🏿,U+1F939 U+1F3FF,:person_juggling_dark_skin_tone:
🤹🏿‍♂️,U+1F939 U+1F3FF U+200D U+2642 U+FE0F,:man_juggling_dark_skin_tone:
🧘🏿‍♀️,U+1F9D8 U+1F3FF U+200D U+2640 U+FE0F,:woman_in_lotus_position_dark_skin_tone:
🧘🏿,U+1F9D8 U+1F3FF,:person_in_lotus_position_dark_skin_tone:
🧘🏿‍♂️,U+1F9D8 U+1F3FF U+200D U+2642 U+FE0F,:man_in_lotus_position_dark_skin_tone:
🛀🏿,U+1F6C0 U+1F3FF,:person_taking_bath_dark_skin_tone:
🛌🏿,U+1F6CC U+1F3FF,:person_in_bed_dark_skin_tone:
🐶,U+1F436,:dog_face:
🐱,U+1F431,:cat_face:
🐭,U+1F42D,:mouse_face:
🐹,U+1F439,:hamster:
🐰,U+1F430,:rabbit_face:
🦊,U+1F98A,:fox:
🐻,U+1F43B,:bear:
🐼,U+1F43C,:panda:
🐻‍❄️,U+1F43B U+200D U+2744 U+FE0F,:polar_bear:
🐨,U+1F428,:koala:
🐯,U+1F42F,:tiger_face:
🦁,U+1F981,:lion:
🐮,U+1F42E,:cow_face:
🐷,U+1F437,:pig_face:
🐽,U+1F43D,:pig_nose:
🐸,U+1F438,:frog:
🐵,U+1F435,:monkey_face:
🙈,U+1F648,:see-no-evil_monkey:
🙉,U+1F649,:hear-no-evil_monkey:
🙊,U+1F64A,:speak-no-evil_monkey:
🐒,U+1F412,:monkey:
🐔,U+1F414,:chicken:
🐧,U+1F427,:penguin:
🐦,U+1F426,:bird:
🐦‍⬛,U+1F426 U+200D U+2B1B,:black_bird:
🐤,U+1F424,:baby_chick:
🐣,U+1F423,:hatching_chick:
🐥,U+1F425,:front-facing_baby_chick:
🦆,U+1F986,:duck:
🦅,U+1F985,:eagle:
🦉,U+1F989,:owl:
🦇,U+1F987,:bat:
🐺,U+1F43A,:wolf:
🐗,U+1F417,:boar:
🐴,U+1F434,:horse_face:
🦄,U+1F984,:unicorn:
🐝,U+1F41D,:honeybee:
🪱,U+1FAB1,:worm:
🐛,U+1F41B,:bug:
🦋,U+1F98B,:butterfly:
🐌,U+1F40C,:snail:
🐞,U+1F41E,:lady_beetle:
🐜,U+1F41C,:ant:
🪰,U+1FAB0,:fly:
🪲,U+1FAB2,:beetle:
🪳,U+1FAB3,:cockroach:
🦟,U+1F99F,:mosquito:
🦗,U+1F997,:cricket:
🕷,U+1F577,:spider:
🕸,U+1F578,:spider_web:
🦂,U+1F982,:scorpion:
🐢,U+1F422,:turtle:
🐍,U+1F40D,:snake:
🦎,U+1F98E,:lizard:
🦖,U+1F996,:T-Rex:
🦕,U+1F995,:sauropod:
🐙,U+1F419,:octopus:
🦑,U+1F991,:squid:
🦐,U+1F990,:shrimp:
🦞,U+1F99E,:lobster:
🦀,U+1F980,:crab:
🪼,U+1FABC,:jellyfish:
🪸,U+1FAB8,:coral:
🐡,U+1F421,:blowfish:
🐠,U+1F420,:tropical_fish:
🐟,U+1F41F,:fish:
🐬,U+1F42C,:dolphin:
🐳,U+1F433,:spouting_whale:
🐋,U+1F40B,:whale:
🦈,U+1F988,:shark:
🐊,U+1F40A,:crocodile:
🐅,U+1F405,:tiger:
🐆,U+1F406,:leopard:
🦓,U+1F993,:zebra:
🫏,U+1FACF,:donkey:
🦍,U+1F98D,:gorilla:
🦧,U+1F9A7,:orangutan:
🦣,U+1F9A3,:mammoth:
🐘,U+1F418,:elephant:
🦛,U+1F99B,:hippopotamus:
🦏,U+1F98F,:rhinoceros:
🐪,U+1F42A,:camel:
🐫,U+1F42B,:two-hump_camel:
🦒,U+1F992,:giraffe:
🦘,U+1F998,:kangaroo:
🦬,U+1F9AC,:bison:
🐃,U+1F403,:water_buffalo:
🐂,U+1F402,:ox:
🐄,U+1F404,:cow:
🐎,U+1F40E,:horse:
🐖,U+1F416,:pig:
🐏,U+1F40F,:ram:
🐑,U+1F411,:ewe:
🦙,U+1F999,:llama:
🐐,U+1F410,:goat:
🦌,U+1F98C,:deer:
🫎,U+1FACE,:moose:
🐕,U+1F415,:dog:
🐩,U+1F429,:poodle:
🦮,U+1F9AE,:guide_dog:
🐕‍🦺,U+1F415 U+200D U+1F9BA,:service_dog:
🐈,U+1F408,:cat:
🐈‍⬛,U+1F408 U+200D U+2B1B,:black_cat:
🪽,U+1FABD,:wing:
🪶,U+1FAB6,:feather:
🐓,U+1F413,:rooster:
🦃,U+1F983,:turkey:
🦤,U+1F9A4,:dodo:
🦚,U+1F99A,:peacock:
🦜,U+1F99C,:parrot:
🦢,U+1F9A2,:swan:
🪿,U+1FABF,:goose:
🦩,U+1F9A9,:flamingo:
🕊,U+1F54A,:dove:
🐇,U+1F407,:rabbit:
🦝,U+1F99D,:raccoon:
🦨,U+1F9A8,:skunk:
🦡,U+1F9A1,:badger:
🦫,U+1F9AB,:beaver:
🦦,U+1F9A6,:otter:
🦥,U+1F9A5,:sloth:
🐁,U+1F401,:mouse:
🐀,U+1F400,:rat:
🐿,U+1F43F,:chipmunk:
🦔,U+1F994,:hedgehog:
🐾,U+1F43E,:paw_prints:
🐉,U+1F409,:dragon:
🐲,U+1F432,:dragon_face:
🌵,U+1F335,:cactus:
🎄,U+1F384,:Christmas_tree:
🌲,U+1F332,:evergreen_tree:
🌳,U+1F333,:deciduous_tree:
🌴,U+1F334,:palm_tree:
🪹,U+1FAB9,:empty_nest:
🪺,U+1FABA,:nest_with_eggs:
🪵,U+1FAB5,:wood:
🌱,U+1F331,:seedling:
🌿,U+1F33F,:herb:
☘️,U+2618 U+FE0F,:shamrock:
🍀,U+1F340,:four_leaf_clover:
🎍,U+1F38D,:pine_decoration:
🪴,U+1FAB4,:potted_plant:
🎋,U+1F38B,:tanabata_tree:
🍃,U+1F343,:leaf_fluttering_in_wind:
🍂,U+1F342,:fallen_leaf:
🍁,U+1F341,:maple_leaf:
🍄,U+1F344,:mushroom:
🐚,U+1F41A,:spiral_shell:
🪨,U+1FAA8,:rock:
🌾,U+1F33E,:sheaf_of_rice:
💐,U+1F490,:bouquet:
🌷,U+1F337,:tulip:
🪷,U+1FAB7,:lotus:
🌹,U+1F339,:rose:
🥀,U+1F940,:wilted_flower:
🌺,U+1F33A,:hibiscus:
🌸,U+1F338,:cherry_blossom:
🪻,U+1FABB,:hyacinth:
🌼,U+1F33C,:blossom:
🌻,U+1F33B,:sunflower:
🌞,U+1F31E,:sun_with_face:
🌝,U+1F31D,:full_moon_face:
🌛,U+1F31B,:first_quarter_moon_face:
🌜,U+1F31C,:last_quarter_moon_face:
🌚,U+1F31A,:new_moon_face:
🌕,U+1F315,:full_moon:
🌖,U+1F316,:waning_gibbous_moon:
🌗,U+1F317,:last_quarter_moon:
🌘,U+1F318,:waning_crescent_moon:
🌑,U+1F311,:new_moon:
🌒,U+1F312,:waxing_crescent_moon:
🌓,U+1F313,:first_quarter_moon:
🌔,U+1F314,:waxing_gibbous_moon:
🌙,U+1F319,:crescent_moon:
🌎,U+1F30E,:globe_showing_Americas:
🌍,U+1F30D,:globe_showing_Europe-Africa:
🌏,U+1F30F,:globe_showing_Asia-Australia:
🪐,U+1FA90,:ringed_planet:
💫,U+1F4AB,:dizzy:
⭐️,U+2B50 U+FE0F,:star:
🌟,U+1F31F,:glowing_star:
✨,U+2728,:sparkles:
⚡️,U+26A1 U+FE0F,:high_voltage:
☄️,U+2604 U+FE0F,:comet:
💥,U+1F4A5,:collision:
🔥,U+1F525,:fire:
🌪,U+1F32A,:tornado:
🌈,U+1F308,:rainbow:
☀️,U+2600 U+FE0F,:sun:
🌤,U+1F324,:sun_behind_small_cloud:
⛅️,U+26C5 U+FE0F,:sun_behind_cloud:
🌥,U+1F325,:sun_behind_large_cloud:
☁️,U+2601 U+FE0F,:cloud:
🌦,U+1F326,:sun_behind_rain_cloud:
🌧,U+1F327,:cloud_with_rain:
⛈,U+26C8,:cloud_with_lightning_and_rain:
🌩,U+1F329,:cloud_with_lightning:
🌨,U+1F328,:cloud_with_snow:
❄️,U+2744 U+FE0F,:snowflake:
☃️,U+2603 U+FE0F,:snowman:
⛄️,U+26C4 U+FE0F,:snowman_without_snow:
🌬,U+1F32C,:wind_face:
💨,U+1F4A8,:dashing_away:
💧,U+1F4A7,:droplet:
💦,U+1F4A6,:sweat_droplets:
🫧,U+1FAE7,:bubbles:
☔️,U+2614 U+FE0F,:umbrella_with_rain_drops:
☂️,U+2602 U+FE0F,:umbrella:
🌊,U+1F30A,:water_wave:
🍏,U+1F34F,:green_apple:
🍎,U+1F34E,:red_apple:
🍐,U+1F350,:pear:
🍊,U+1F34A,:tangerine:
🍋,U+1F34B,:lemon:
🍌,U+1F34C,:banana:
🍉,U+1F349,:watermelon:
🍇,U+1F347,:grapes:
🍓,U+1F353,:strawberry:
🫐,U+1FAD0,:blueberries:
🍈,U+1F348,:melon:
🍒,U+1F352,:cherries:
🍑,U+1F351,:peach:
🥭,U+1F96D,:mango:
🍍,U+1F34D,:pineapple:
🥥,U+1F965,:coconut:
🥝,U+1F95D,:kiwi_fruit:
🍅,U+1F345,:tomato:
🍆,U+1F346,:eggplant:
🥑,U+1F951,:avocado:
🥦,U+1F966,:broccoli:
🫛,U+1FADB,:pea_pod:
🥬,U+1F96C,:leafy_green:
🥒,U+1F952,:cucumber:
🌶,U+1F336,:hot_pepper:
🫑,U+1FAD1,:bell_pepper:
🌽,U+1F33D,:ear_of_corn:
🥕,U+1F955,:carrot:
🫒,U+1FAD2,:olive:
🧄,U+1F9C4,:garlic:
🧅,U+1F9C5,:onion:
🫚,U+1FADA,:ginger_root:
🥔,U+1F954,:potato:
🍠,U+1F360,:roasted_sweet_potato:
🫘,U+1FAD8,:beans:
🥐,U+1F950,:croissant:
🥯,U+1F96F,:bagel:
🍞,U+1F35E,:bread:
🥖,U+1F956,:baguette_bread:
🥨,U+1F968,:pretzel:
🧀,U+1F9C0,:cheese_wedge:
🥚,U+1F95A,:egg:
🍳,U+1F373,:cooking:
🧈,U+1F9C8,:butter:
🥞,U+1F95E,:pancakes:
🧇,U+1F9C7,:waffle:
🥓,U+1F953,:bacon:
🥩,U+1F969,:cut_of_meat:
🍗,U+1F357,:poultry_leg:
🍖,U+1F356,:meat_on_bone:
🦴,U+1F9B4,:bone:
🌭,U+1F32D,:hot_dog:
🍔,U+1F354,:hamburger:
🍟,U+1F35F,:french_fries:
🍕,U+1F355,:pizza:
🫓,U+1FAD3,:flatbread:
🥪,U+1F96A,:sandwich:
🥙,U+1F959,:stuffed_flatbread:
🧆,U+1F9C6,:falafel:
🌮,U+1F32E,:taco:
🌯,U+1F32F,:burrito:
🫔,U+1FAD4,:tamale:
🥗,U+1F957,:green_salad:
🥘,U+1F958,:shallow_pan_of_food:
🫕,U+1FAD5,:fondue:
🥫,U+1F96B,:canned_food:
🍝,U+1F35D,:spaghetti:
🍜,U+1F35C,:steaming_bowl:
🍲,U+1F372,:pot_of_food:
🍛,U+1F35B,:curry_rice:
🍣,U+1F363,:sushi:
🍱,U+1F371,:bento_box:
🥟,U+1F95F,:dumpling:
🦪,U+1F9AA,:oyster:
🍤,U+1F364,:fried_shrimp:
🍙,U+1F359,:rice_ball:
🍚,U+1F35A,:cooked_rice:
🍘,U+1F358,:rice_cracker:
🍥,U+1F365,:fish_cake_with_swirl:
🥠,U+1F960,:fortune_cookie:
🥮,U+1F96E,:moon_cake:
🍢,U+1F362,:oden:
🍡,U+1F361,:dango:
🍧,U+1F367,:shaved_ice:
🍨,U+1F368,:ice_cream:
🍦,U+1F366,:soft_ice_cream:
🥧,U+1F967,:pie:
🧁,U+1F9C1,:cupcake:
🍰,U+1F370,:shortcake:
🎂,U+1F382,:birthday_cake:
🍮,U+1F36E,:custard:
🍭,U+1F36D,:lollipop:
🍬,U+1F36C,:candy:
🍫,U+1F36B,:chocolate_bar:
🍿,U+1F37F,:popcorn:
🍩,U+1F369,:doughnut:
🍪,U+1F36A,:cookie:
🌰,U+1F330,:chestnut:
🥜,U+1F95C,:peanuts:
🍯,U+1F36F,:honey_pot:
🥛,U+1F95B,:glass_of_milk:
🍼,U+1F37C,:baby_bottle:
🫖,U+1FAD6,:teapot:
☕️,U+2615 U+FE0F,:hot_beverage:
🍵,U+1F375,:teacup_without_handle:
🧃,U+1F9C3,:beverage_box:
🥤,U+1F964,:cup_with_straw:
🧋,U+1F9CB,:bubble_tea:
🫙,U+1FAD9,:jar:
🍶,U+1F376,:sake:
🍺,U+1F37A,:beer_mug:
🍻,U+1F37B,:clinking_beer_mugs:
🥂,U+1F942,:clinking_glasses:
🍷,U+1F377,:wine_glass:
🫗,U+1FAD7,:pouring_liquid:
🥃,U+1F943,:tumbler_glass:
🍸,U+1F378,:cocktail_glass:
🍹,U+1F379,:tropical_drink:
🧉,U+1F9C9,:mate:
🍾,U+1F37E,:bottle_with_popping_cork:
🧊,U+1F9CA,:ice:
🥄,U+1F944,:spoon:
🍴,U+1F374,:fork_and_knife:
🍽,U+1F37D,:fork_and_knife_with_plate:
🥣,U+1F963,:bowl_with_spoon:
🥡,U+1F961,:takeout_box:
🥢,U+1F962,:chopsticks:
🧂,U+1F9C2,:salt:
⚽️,U+26BD U+FE0F,:soccer_ball:
🏀,U+1F3C0,:basketball:
🏈,U+1F3C8,:american_football:
⚾️,U+26BE U+FE0F,:baseball:
🥎,U+1F94E,:softball:
🎾,U+1F3BE,:tennis:
🏐,U+1F3D0,:volleyball:
🏉,U+1F3C9,:rugby_football:
🥏,U+1F94F,:flying_disc:
🎱,U+1F3B1,:pool_8_ball:
🪀,U+1FA80,:yo-yo:
🏓,U+1F3D3,:ping_pong:
🏸,U+1F3F8,:badminton:
🏒,U+1F3D2,:ice_hockey:
🏑,U+1F3D1,:field_hockey:
🥍,U+1F94D,:lacrosse:
🏏,U+1F3CF,:cricket_game:
🪃,U+1FA83,:boomerang:
🥅,U+1F945,:goal_net:
⛳️,U+26F3 U+FE0F,:flag_in_hole:
🪁,U+1FA81,:kite:
🏹,U+1F3F9,:bow_and_arrow:
🎣,U+1F3A3,:fishing_pole:
🤿,U+1F93F,:diving_mask:
🥊,U+1F94A,:boxing_glove:
🥋,U+1F94B,:martial_arts_uniform:
🎽,U+1F3BD,:running_shirt:
🛹,U+1F6F9,:skateboard:
🛼,U+1F6FC,:roller_skate:
🛷,U+1F6F7,:sled:
⛸,U+26F8,:ice_skate:
🥌,U+1F94C,:curling_stone:
🎿,U+1F3BF,:skis:
⛷,U+26F7,:skier:
🏂,U+1F3C2,:snowboarder:
🪂,U+1FA82,:parachute:
🏋️‍♀️,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,:woman_lifting_weights:
🏋️,U+1F3CB U+FE0F,:person_lifting_weights:
🏋️‍♂️,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,:man_lifting_weights:
🤼‍♀️,U+1F93C U+200D U+2640 U+FE0F,:women_wrestling:
🤼,U+1F93C,:people_wrestling:
🤼‍♂️,U+1F93C U+200D U+2642 U+FE0F,:men_wrestling:
🤸‍♀️,U+1F938 U+200D U+2640 U+FE0F,:woman_cartwheeling:
🤸,U+1F938,:person_cartwheeling:
🤸‍♂️,U+1F938 U+200D U+2642 U+FE0F,:man_cartwheeling:
⛹️‍♀️,U+26F9 U+FE0F U+200D U+2640 U+FE0F,:woman_bouncing_ball:
⛹️,U+26F9 U+FE0F,:person_bouncing_ball:
⛹️‍♂️,U+26F9 U+FE0F U+200D U+2642 U+FE0F,:man_bouncing_ball:
🤺,U+1F93A,:person_fencing:
🤾‍♀️,U+1F93E U+200D U+2640 U+FE0F,:woman_playing_handball:
🤾,U+1F93E,:person_playing_handball:
🤾‍♂️,U+1F93E U+200D U+2642 U+FE0F,:man_playing_handball:
🏌️‍♀️,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,:woman_golfing:
🏌️,U+1F3CC U+FE0F,:person_golfing:
🏌️‍♂️,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,:man_golfing:
🏇,U+1F3C7,:horse_racing:
🧘‍♀️,U+1F9D8 U+200D U+2640 U+FE0F,:woman_in_lotus_position:
🧘,U+1F9D8,:person_in_lotus_position:
🧘‍♂️,U+1F9D8 U+200D U+2642 U+FE0F,:man_in_lotus_position:
🏄‍♀️,U+1F3C4 U+200D U+2640 U+FE0F,:woman_surfing:
🏄,U+1F3C4,:person_surfing:
🏄‍♂️,U+1F3C4 U+200D U+2642 U+FE0F,:man_surfing:
🏊‍♀️,U+1F3CA U+200D U+2640 U+FE0F,:woman_swimming:
🏊,U+1F3CA,:person_swimming:
🏊‍♂️,U+1F3CA U+200D U+2642 U+FE0F,:man_swimming:
🤽‍♀️,U+1F93D U+200D U+2640 U+FE0F,:woman_playing_water_polo:
🤽,U+1F93D,:person_playing_water_polo:
🤽‍♂️,U+1F93D U+200D U+2642 U+FE0F,:man_playing_water_polo:
🚣‍♀️,U+1F6A3 U+200D U+2640 U+FE0F,:woman_rowing_boat:
🚣,U+1F6A3,:person_rowing_boat:
🚣‍♂️,U+1F6A3 U+200D U+2642 U+FE0F,:man_rowing_boat:
🧗‍♀️,U+1F9D7 U+200D U+2640 U+FE0F,:woman_climbing:
🧗,U+1F9D7,:person_climbing:
🧗‍♂️,U+1F9D7 U+200D U+2642 U+FE0F,:man_climbing:
🚵‍♀️,U+1F6B5 U+200D U+2640 U+FE0F,:woman_mountain_biking:
🚵,U+1F6B5,:person_mountain_biking:
🚵‍♂️,U+1F6B5 U+200D U+2642 U+FE0F,:man_mountain_biking:
🚴‍♀️,U+1F6B4 U+200D U+2640 U+FE0F,:woman_biking:
🚴,U+1F6B4,:person_biking:
🚴‍♂️,U+1F6B4 U+200D U+2642 U+FE0F,:man_biking:
🏆,U+1F3C6,:trophy:
🥇,U+1F947,:1st_place_medal:
🥈,U+1F948,:2nd_place_medal:
🥉,U+1F949,:3rd_place_medal:
🏅,U+1F3C5,:sports_medal:
🎖,U+1F396,:military_medal:
🏵,U+1F3F5,:rosette:
🎗,U+1F397,:reminder_ribbon:
🎫,U+1F3AB,:ticket:
🎟,U+1F39F,:admission_tickets:
🎪,U+1F3AA,:circus_tent:
🤹,U+1F939,:person_juggling:
🤹‍♂️,U+1F939 U+200D U+2642 U+FE0F,:man_juggling:
🤹‍♀️,U+1F939 U+200D U+2640 U+FE0F,:woman_juggling:
🎭,U+1F3AD,:performing_arts:
🩰,U+1FA70,:ballet_shoes:
🎨,U+1F3A8,:artist_palette:
🎬,U+1F3AC,:clapper_board:
🎤,U+1F3A4,:microphone:
🎧,U+1F3A7,:headphone:
🎼,U+1F3BC,:musical_score:
🎹,U+1F3B9,:musical_keyboard:
🥁,U+1F941,:drum:
🪘,U+1FA98,:long_drum:
🪇,U+1FA87,:maracas:
🎷,U+1F3B7,:saxophone:
🎺,U+1F3BA,:trumpet:
🪗,U+1FA97,:accordion:
🎸,U+1F3B8,:guitar:
🪕,U+1FA95,:banjo:
🎻,U+1F3BB,:violin:
🪈,U+1FA88,:flute:
🎲,U+1F3B2,:game_die:
♟,U+265F,:chess_pawn:
🎯,U+1F3AF,:bullseye:
🎳,U+1F3B3,:bowling:
🎮,U+1F3AE,:video_game:
🎰,U+1F3B0,:slot_machine:
🧩,U+1F9E9,:puzzle_piece:
🚗,U+1F697,:automobile:
🚕,U+1F695,:taxi:
🚙,U+1F699,:sport_utility_vehicle:
🚌,U+1F68C,:bus:
🚎,U+1F68E,:trolleybus:
🏎,U+1F3CE,:racing_car:
🚓,U+1F693,:police_car:
🚑,U+1F691,:ambulance:
🚒,U+1F692,:fire_engine:
🚐,U+1F690,:minibus:
🛻,U+1F6FB,:pickup_truck:
🚚,U+1F69A,:delivery_truck:
🚛,U+1F69B,:articulated_lorry:
🚜,U+1F69C,:tractor:
🦯,U+1F9AF,:white_cane:
🦽,U+1F9BD,:manual_wheelchair:
🦼,U+1F9BC,:motorized_wheelchair:
🛴,U+1F6F4,:kick_scooter:
🚲,U+1F6B2,:bicycle:
🛵,U+1F6F5,:motor_scooter:
🏍,U+1F3CD,:motorcycle:
🛺,U+1F6FA,:auto_rickshaw:
🚨,U+1F6A8,:police_car_light:
🚔,U+1F694,:oncoming_police_car:
🚍,U+1F68D,:oncoming_bus:
🚘,U+1F698,:oncoming_automobile:
🚖,U+1F696,:oncoming_taxi:
🛞,U+1F6DE,:wheel:
🚡,U+1F6A1,:aerial_tramway:
🚠,U+1F6A0,:mountain_cableway:
🚟,U+1F69F,:suspension_railway:
🚃,U+1F683,:railway_car:
🚋,U+1F68B,:tram_car:
🚞,U+1F69E,:mountain_railway:
🚝,U+1F69D,:monorail:
🚄,U+1F684,:high-speed_train:
🚅,U+1F685,:bullet_train:
🚈,U+1F688,:light_rail:
🚂,U+1F682,:locomotive:
🚆,U+1F686,:train:
🚇,U+1F687,:metro:
🚊,U+1F68A,:tram:
🚉,U+1F689,:station:
✈️,U+2708 U+FE0F,:airplane:
🛫,U+1F6EB,:airplane_departure:
🛬,U+1F6EC,:airplane_arrival:
🛩,U+1F6E9,:small_airplane:
💺,U+1F4BA,:seat:
🛰,U+1F6F0,:satellite:
🚀,U+1F680,:rocket:
🛸,U+1F6F8,:flying_saucer:
🚁,U+1F681,:helicopter:
🛶,U+1F6F6,:canoe:
⛵️,U+26F5 U+FE0F,:sailboat:
🚤,U+1F6A4,:speedboat:
🛥,U+1F6E5,:motor_boat:
🛳,U+1F6F3,:passenger_ship:
⛴,U+26F4,:ferry:
🚢,U+1F6A2,:ship:
⚓️,U+2693 U+FE0F,:anchor:
🛟,U+1F6DF,:ring_buoy:
🪝,U+1FA9D,:hook:
⛽️,U+26FD U+FE0F,:fuel_pump:
🚧,U+1F6A7,:construction:
🚦,U+1F6A6,:vertical_traffic_light:
🚥,U+1F6A5,:horizontal_traffic_light:
🚏,U+1F68F,:bus_stop:
🗺,U+1F5FA,:world_map:
🗿,U+1F5FF,:moai:
🗽,U+1F5FD,:Statue_of_Liberty:
🗼,U+1F5FC,:Tokyo_tower:
🏰,U+1F3F0,:castle:
🏯,U+1F3EF,:Japanese_castle:
🏟,U+1F3DF,:stadium:
🎡,U+1F3A1,:ferris_wheel:
🎢,U+1F3A2,:roller_coaster:
🛝,U+1F6DD,:playground_slide:
🎠,U+1F3A0,:carousel_horse:
⛲️,U+26F2 U+FE0F,:fountain:
⛱,U+26F1,:umbrella_on_ground:
🏖,U+1F3D6,:beach_with_umbrella:
🏝,U+1F3DD,:desert_island:
🏜,U+1F3DC,:desert:
🌋,U+1F30B,:volcano:
⛰,U+26F0,:mountain:
🏔,U+1F3D4,:snow-capped_mountain:
🗻,U+1F5FB,:mount_fuji:
🏕,U+1F3D5,:camping:
⛺️,U+26FA U+FE0F,:tent:
🛖,U+1F6D6,:hut:
🏠,U+1F3E0,:house:
🏡,U+1F3E1,:house_with_garden:
🏘,U+1F3D8,:houses:
🏚,U+1F3DA,:derelict_house:
🏗,U+1F3D7,:building_construction:
🏭,U+1F3ED,:factory:
🏢,U+1F3E2,:office_building:
🏬,U+1F3EC,:department_store:
🏣,U+1F3E3,:Japanese_post_office:
🏤,U+1F3E4,:post_office:
🏥,U+1F3E5,:hospital:
🏦,U+1F3E6,:bank:
🏨,U+1F3E8,:hotel:
🏪,U+1F3EA,:convenience_store:
🏫,U+1F3EB,:school:
🏩,U+1F3E9,:love_hotel:
💒,U+1F492,:wedding:
🏛,U+1F3DB,:classical_building:
⛪️,U+26EA U+FE0F,:church:
🕌,U+1F54C,:mosque:
🕍,U+1F54D,:synagogue:
🛕,U+1F6D5,:hindu_temple:
🕋,U+1F54B,:kaaba:
⛩,U+26E9,:shinto_shrine:
🛤,U+1F6E4,:railway_track:
🛣,U+1F6E3,:motorway:
🗾,U+1F5FE,:map_of_Japan:
🎑,U+1F391,:moon_viewing_ceremony:
🏞,U+1F3DE,:national_park:
🌅,U+1F305,:sunrise:
🌄,U+1F304,:sunrise_over_mountains:
🌠,U+1F320,:shooting_star:
🎇,U+1F387,:sparkler:
🎆,U+1F386,:fireworks:
🌇,U+1F307,:sunset:
🌆,U+1F306,:cityscape_at_dusk:
🏙,U+1F3D9,:cityscape:
🌃,U+1F303,:night_with_stars:
🌌,U+1F30C,:milky_way:
🌉,U+1F309,:bridge_at_night:
🌁,U+1F301,:foggy:
⌚️,U+231A U+FE0F,:watch:
📱,U+1F4F1,:mobile_phone:
📲,U+1F4F2,:mobile_phone_with_arrow:
💻,U+1F4BB,:laptop:
⌨️,U+2328 U+FE0F,:keyboard:
🖥,U+1F5A5,:desktop_computer:
🖨,U+1F5A8,:printer:
🖱,U+1F5B1,:computer_mouse:
🖲,U+1F5B2,:trackball:
🕹,U+1F579,:joystick:
🗜,U+1F5DC,:clamp:
💽,U+1F4BD,:computer_disk:
💾,U+1F4BE,:floppy_disk:
💿,U+1F4BF,:optical_disk:
📀,U+1F4C0,:dvd:
📼,U+1F4FC,:videocassette:
📷,U+1F4F7,:camera:
📸,U+1F4F8,:camera_with_flash:
📹,U+1F4F9,:video_camera:
🎥,U+1F3A5,:movie_camera:
📽,U+1F4FD,:film_projector:
🎞,U+1F39E,:film_frames:
📞,U+1F4DE,:telephone_receiver:
☎️,U+260E U+FE0F,:telephone:
📟,U+1F4DF,:pager:
📠,U+1F4E0,:fax_machine:
📺,U+1F4FA,:television:
📻,U+1F4FB,:radio:
🎙,U+1F399,:studio_microphone:
🎚,U+1F39A,:level_slider:
🎛,U+1F39B,:control_knobs:
🧭,U+1F9ED,:compass:
⏱,U+23F1,:stopwatch:
⏲,U+23F2,:timer_clock:
⏰,U+23F0,:alarm_clock:
🕰,U+1F570,:mantelpiece_clock:
⌛️,U+231B U+FE0F,:hourglass_done:
⏳,U+23F3,:hourglass_not_done:
📡,U+1F4E1,:satellite_antenna:
🔋,U+1F50B,:battery:
🪫,U+1FAAB,:low_battery:
🔌,U+1F50C,:electric_plug:
💡,U+1F4A1,:light_bulb:
🔦,U+1F526,:flashlight:
🕯,U+1F56F,:candle:
🪔,U+1FA94,:diya_lamp:
🧯,U+1F9EF,:fire_extinguisher:
🛢,U+1F6E2,:oil_drum:
🛍️,U+1F6CD U+FE0F,:shopping_bags:
💸,U+1F4B8,:money_with_wings:
💵,U+1F4B5,:dollar_banknote:
